fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-01-03,19.384348,-99.191522,ALVARO OBREGON,SANTA MARIA NONOALCO,12.14,0.0,52.31,0.7,4.4076,74.5,Inundacion
2019-01-03,19.38456,-99.190621,BENITO JUAREZ,NONOALCO,12.14,0.0,52.31,0.7,4.4076,74.5,Encharcamiento
2019-01-03,19.38456,-99.190621,BENITO JUAREZ,NONOALCO,12.14,0.0,52.31,0.7,4.4076,74.5,Inundacion
2019-01-03,19.38456,-99.190621,BENITO JUAREZ,NONOALCO,12.14,0.0,52.31,0.7,4.4076,74.5,Encharcamiento
2019-01-03,19.38456,-99.190621,BENITO JUAREZ,NONOALCO,12.14,0.0,52.31,0.7,4.4076,74.5,Inundacion
2019-02-02,19.360221,-99.14341,BENITO JUAREZ,PORTALES IV,12.39,0.0,42.04,0.7,5.9741,74.53,Encharcamiento
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-06-26,19.244516,-99.240369,TLALPAN,HEROES DE 1910,18.72,3.68,74.34,0.65,4.7206,79.94,Inundacion
2019-01-14,19.509934,-99.209663,AZCAPOTZALCO,EL ROSARIO A (U HAB),9.39,0.09,76.3,1.29,4.1662,74.8,Encharcamiento
2019-06-30,19.546486,-99.142713,GUSTAVO A. MADERO,DEL BOSQUE,15.07,6.03,70.78,0.64,5.6338,74.71,Encharcamiento
2019-06-30,19.522177,-99.152886,GUSTAVO A. MADERO,GUADALUPE PROLETARIA (AMPL),15.07,6.03,70.78,0.64,5.6338,74.71,Encharcamiento
2019-06-30,19.318877,-99.258791,LA MAGDALENA CONTRERAS,SAN BERNABE OCOTEPEC (PBLO),15.07,6.03,70.78,0.64,5.6338,74.71,Encharcamiento
2019-06-30,19.360829,-99.142702,BENITO JUAREZ,MIRAVALLE,15.07,6.03,70.78,0.64,5.6338,74.71,Encharcamiento
2019-06-29,19.441921,-99.131932,CUAUHTEMOC,CENTRO I,14.9,1.19,69.83,1.44,6.9206,74.76,Encharcamiento
2019-06-28,19.409076,-99.115602,VENUSTIANO CARRANZA,MAGDALENA  MIXHUCA (PBLO),15.37,2.86,67.09,1.75,7.2494,74.76,Encharcamiento
2019-06-28,19.409076,-99.115602,VENUSTIANO CARRANZA,MAGDALENA  MIXHUCA (PBLO),15.37,2.86,67.09,1.75,7.2494,74.76,Encharcamiento
2019-06-28,19.409076,-99.115602,VENUSTIANO CARRANZA,MAGDALENA  MIXHUCA (PBLO),15.37,2.86,67.09,1.75,7.2494,74.76,Encharcamiento
2019-06-28,19.409076,-99.115602,VENUSTIANO CARRANZA,MAGDALENA  MIXHUCA (PBLO),15.37,2.86,67.09,1.75,7.2494,74.76,Encharcamiento
2019-06-27,19.423382,-99.141404,CUAUHTEMOC,CENTRO VI,16.31,1.18,67.79,1.54,6.888,74.78,Encharcamiento
2019-06-18,19.254608,-99.056358,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),18.31,5.65,62.13,1.0,6.1068,74.63,Inundacion
2019-06-18,19.381695,-99.146015,BENITO JUAREZ,PERIODISTA FRANCISCO ZARCO,18.25,5.28,60.69,0.75,6.1068,74.68,Inundacion
2019-06-18,19.304217,-99.164312,COYOACAN,EL CARACOL,18.25,5.28,60.69,0.75,6.1068,74.68,Inundacion
2019-06-18,19.280964,-99.166196,TLALPAN,TLALPAN CENTRO,18.25,5.28,60.69,0.75,6.1068,74.68,Inundacion
2019-06-19,19.340311,-99.024852,IZTAPALAPA,CITLALLI,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.372413,-99.016981,IZTAPALAPA,SANTA MARTHA ACATITLA,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
